Theme;E1;E1_Ans;E2;E2_Ans;M1;M1_Ans;M2;M2_Ans;H1;H1_Ans;H2;H2_Ans
Alchool;Comment appelle-t-on le mélange de plusieurs alcools ?;Le cocktail;Quel alcool est traditionnellement fabriqué à partir de raisins ?;Le Vin; Dans quelle région française produit-on le vin de Chablis ?;Bourgogne;Dans quel pays est produit le Porto ?;Porto;En quelle année le champagne est-il officiellement reconnu comme appellation ?;1927;Quel alcool était utilisé comme anesthésiant autrefois ?;L'éther
Animaux;Quel annimal terrestre est le plus rapide du monde ?;Guépard - 112 à 120 km/h;Quel oiseau symbolise la paix ?;Colombe;Quel mammifère marin possède des dents en forme de spirale ?;Narval;Quel animal saute dans les plaines australiennes ?;Kangourou;Quel oiseau est symbole de la Nouvelle-Zélande ?;Kiwi;Quel oiseau peut atteindre 320 km/h en piqué ?;Faucon pèlerin
Animaux;Quel oiseau trouvable en Australie ne vole pas ?;Autruche;Quel oiseau fait “cocorico” ?;Coq;Quel animal est connu pour son masque noir ?;Raton laveur;Quel oiseau a des plumes colorées et imite les sons ?;Perroquet;Quel animal est un marsupial nocturne australien rare ?;Bandicoot;Quel oiseau peut voler à reculons ?;Colibri
Années 2000-2020;Quelle chanteuse a créé “Bad Romance” ?;Lady Gaga;Quel logiciel vidéo court est devenu populaire en 2020 ?;TikTok;Quel groupe a chanté “Seven Nation Army” ?;White Stripes;Quelle série Netflix a révélé le personnage Eleven ?;Stranger Things;Quel rappeur sort “To Pimp a Butterfly” ?;Kendrick Lamar;Quelle série dystopique a un épisode sur les réseaux sociaux ?;Black Mirror
Années 2000-2020;Quel Marvel sort en 2012 avec les héros réunis ?;Avengers;Quel jeu mobile implique des oiseaux catapultés ?;Angry Birds;Quel chanteur coréen a popularisé “Gangnam Style” ?;Psy;Quelle série a rendu célèbre le trône de fer ?;Game of Thrones;Quel artiste électro sort l’album “Immunity” (2013) ?;Jon Hopkins;Quel chanteur sort “Blinding Lights” ?;The Weeknd
Art;Quel est le tableau le plus célèbre se trouvant au Louvre fait par Léonard de Vinci ?;La Joconde;Quel peintre espagnol a peint Guernica ?;Picasso;Quel artiste a peint Le Cri ?;Edvard Munch;"Par qui à été faite la peinture réalisé de 1908 à 1909 portant le nom ""Le Baiser""";Gustav Klimt;Quel peintre italien a peint la Chapelle Sixtine ?;Michel-Ange;Quel mouvement voit Kandinsky comme pionnier ?;Art abstrait
Géographie;Quel pays a Tokyo pour capitale ?;Japon;Quelle mer est la plus salée du monde ?;Mer Morte;Dans quel océan est Madagascar ?;Océan Indien;Quel pays a pour capitale Wellington ?;Nouvelle-Zélande;Quel drapeau a un trident noir ?;Barbade;Quel pays a un drapeau rouge avec un cercle vert ?;Bangladesh
Années 70-2000;"Quel groupe suédois à remporté l'Eurovision en 1974 avec le tube ""Waterloo"" ?";ABBA;Quelle console de Nintendo, sortie au milieu des années 90, a popularisé la 3D avec Mario et Zelda ?;La Nintendo 64;Quel groupe a chanté “Africa” en 1982 ?;Toto;Quelle saga spatiale commence en 1977 ?;Star Wars;Quel tube français de 1987 chante “Voyage, voyage” ?;Desireless;Quel film de 1979 raconte un apocalypse vietnamien ?;Apocalypse Now
Années 70-2000;Quel dessin animé met en scène Goldorak ?;Goldorak;"Quel chanteur a sorti ""Purple Rain"" ?";Prince;Quel artiste sort “Heroes” en 1977 ?;David Bowie;En 1989, quel événement symbolique marque la fin imminent de la Guerre Froide en Europe ?;La chute du mur de Berlin;"Quel système d'exploitation de Microsoft, lancé en 1995, a introduit le menu ""Démarrer"" ?";Windows 95;Quel président américain a démissionné en 1974 suite au scandale du Watergate ?;Richard Nixon
Années 70-2000;Quel groupe a chanté “Stayin’ Alive” ?;Bee Gees;Dans les années 80, quel jeu consiste à déplacer un personnage, vu de profil, ressemble à un diagramme circulaire à l’intérieur d’un labyrinthe, afin de lui faire manger toutes les pac-gommes qui s’y trouvent en évitant d’être touché par des fantômes.;Pac-Man;Qui chantait “I Will Survive” ?;Gloria Gaynor;Quel film musical avec John Travolta date de 1978 ?;Grease;En 1979, quel Baladeur à cassette révolutionnaire et lancé par Sony ?;Le Walkman;En 1996, comment s'appelait la première brebis clonée à partir d'une cellule adulte;Dolly
